month,day,hour,day of week,air_temp_f,3039 power (kW),3538 power (kW),4031 power (kW),6139 power (kW),7951 power (kW),8386 power (kW),8565 power (kW),9278 power (kW),power(kW)
1.0,1.0,0.0,0.0,26.69,0.90425,1.198,0.71625,1.7845,4.465,1.019,0.7125,5.2995,16.099
1.0,1.0,1.0,0.0,26.03,1.91575,1.252,0.2825,1.275,2.66275,0.789,0.65375,10.4485,19.279249999999998
1.0,1.0,2.0,0.0,25.86,1.4915,1.193,0.51225,0.807,3.69775,0.93925,0.64725,9.839,19.127000000000002
1.0,1.0,3.0,0.0,25.91,1.17675,1.208,0.7615,0.8270000000000001,3.63,1.0,0.6409999999999999,9.878,19.12225
1.0,1.0,4.0,0.0,25.83,1.07875,1.11125,0.5895,0.9015,2.222,0.9565,0.64125,10.8155,18.31625
1.0,1.0,5.0,0.0,25.77,1.10925,1.19275,0.48525,0.77675,3.41625,0.967,0.659,10.17375,18.78
1.0,1.0,6.0,0.0,25.62,0.856,1.1365,0.62675,0.76825,4.01875,1.47225,0.6395,10.45075,19.96875
1.0,1.0,7.0,0.0,25.35,1.5305,1.181,0.7905,0.813,3.62075,1.3445,0.62525,9.4455,19.351
1.0,1.0,8.0,0.0,24.64,2.03,0.99825,1.7685,0.65075,2.83125,2.04525,0.636,10.104,21.063999999999997
1.0,1.0,9.0,0.0,24.87,2.112,0.7725,1.36325,0.8405,2.94175,1.6315,0.81175,6.0539999999999985,16.52725
1.0,1.0,10.0,0.0,25.5,1.9395,0.69,1.35025,0.828,2.639,2.14425,0.8079999999999999,5.02725,15.42625
1.0,1.0,11.0,0.0,26.09,2.04975,0.51075,0.89225,1.408,2.117,1.51875,0.82075,3.4755,12.79275
1.0,1.0,12.0,0.0,27.56,1.56425,0.755,0.4920000000000001,0.80475,4.33625,1.519,0.9025,1.79225,12.165999999999999
1.0,1.0,13.0,0.0,28.89,1.8885,0.46625,0.57875,0.7495,2.3280000000000003,1.51175,0.72025,2.80225,11.04525
1.0,1.0,14.0,0.0,29.73,1.77625,0.556,0.94375,0.83325,2.41025,1.24625,0.884,7.97775,16.6275
1.0,1.0,15.0,0.0,29.94,1.815,0.6705,0.59675,1.36275,1.87825,1.44275,0.96725,5.90475,14.638
1.0,1.0,16.0,0.0,30.39,2.3915,0.489,0.5920000000000001,1.1715,1.20025,1.4935,0.8905,4.85375,13.082
1.0,1.0,17.0,0.0,30.55,2.84375,0.51725,0.84925,3.40225,3.594,1.545,1.031,2.83525,16.617749999999997
1.0,1.0,18.0,0.0,29.66,2.7385,0.95025,1.47975,1.91575,3.4410000000000003,1.59425,0.6985,4.87925,17.69725
1.0,1.0,19.0,0.0,29.13,2.12425,1.053,0.924,1.9385,3.95375,1.42025,0.78675,4.862,17.0625
1.0,1.0,20.0,0.0,29.1,2.2195,1.213,1.798,1.62075,4.85125,1.40775,0.9215,3.638,17.66975
1.0,1.0,21.0,0.0,29.02,1.80075,1.4435,5.374,1.463,3.01725,1.24775,0.853,5.456,20.655250000000002
1.0,1.0,22.0,0.0,28.91,1.66975,2.41175,2.559,1.68925,4.6215,1.0659999999999998,0.688,5.43725,20.142500000000002
1.0,1.0,23.0,0.0,28.9,0.8565,1.35475,0.69475,1.276,3.25225,0.95125,0.37275,4.89225,13.650500000000001
1.0,2.0,0.0,1.0,28.85,1.01025,1.21425,0.2945,0.763,2.6395,0.94125,0.31025,5.17375,12.34675
1.0,2.0,1.0,1.0,28.72,1.10825,1.17475,0.2825,0.78025,3.52025,0.789,0.30575,4.68025,12.640999999999998
1.0,2.0,2.0,1.0,28.7,0.86775,1.15325,0.43425,0.682,3.36625,0.792,0.28600000000000003,3.731,11.3125
1.0,2.0,3.0,1.0,28.62,1.135,0.95975,0.64025,0.76175,3.40475,0.81825,0.285,3.97425,11.979
1.0,2.0,4.0,1.0,28.49,0.9335,0.97575,0.65275,0.7355,2.028,0.77975,0.3315,4.44825,10.885
1.0,2.0,5.0,1.0,28.11,1.03325,0.94225,0.50825,0.7715,3.86975,1.1145,0.65625,4.25325,13.149000000000001
1.0,2.0,6.0,1.0,27.98,1.3265,0.93975,0.575,0.74625,2.54675,1.328,0.519,4.19925,12.1805
1.0,2.0,7.0,1.0,27.93,1.306,1.02125,0.72525,0.7705,3.22675,0.86525,0.5539999999999999,3.56675,12.03575
1.0,2.0,8.0,1.0,27.96,1.96375,0.79675,0.36675,0.69475,3.579,1.46875,0.4185,4.5935,13.88175
1.0,2.0,9.0,1.0,28.23,2.50925,0.4725,0.44875,1.21425,3.4805,1.18525,1.24025,4.06725,14.618
1.0,2.0,10.0,1.0,29.02,1.197,0.72525,0.59225,1.29875,1.85075,1.036,2.126,3.5665,12.392499999999998
1.0,2.0,11.0,1.0,30.02,0.76675,0.6205,0.4905,2.081,3.70575,1.44425,2.4615,2.74175,14.312000000000001
1.0,2.0,12.0,1.0,30.63,1.3605,0.46625,0.58375,2.5515,2.16075,1.24975,0.98375,2.54925,11.9055
1.0,2.0,13.0,1.0,31.03,0.97975,0.53375,0.81475,1.4145,2.16725,1.48225,0.86675,5.45025,13.70925
1.0,2.0,14.0,1.0,31.27,0.73425,0.48025,0.54175,1.24475,4.254,1.4045,0.9215,4.19525,13.77625
1.0,2.0,15.0,1.0,31.09,0.688,0.56525,1.78575,1.508,1.9175,1.01525,0.8759999999999999,5.14725,13.502999999999998
1.0,2.0,16.0,1.0,30.07,0.68225,0.5545,2.676,1.20625,3.17725,0.99525,0.95425,5.64175,15.887500000000001
1.0,2.0,17.0,1.0,28.88,2.6275,0.56,2.417,1.5590000000000002,2.32225,1.6715,3.0175,2.7455,16.92025
1.0,2.0,18.0,1.0,28.82,3.4160000000000004,0.606,2.1945,1.382,4.36,1.88875,1.067,4.3345,19.24875
1.0,2.0,19.0,1.0,28.6,2.50875,1.321,2.261,1.39575,3.671,1.53525,1.33375,7.1705,21.197
1.0,2.0,20.0,1.0,28.31,2.4915,1.59625,2.21675,1.339,4.65975,1.7515,1.241,7.324,22.619749999999996
1.0,2.0,21.0,1.0,27.86,1.58625,1.7325,2.27625,1.2895,4.2995,1.296,0.9645,12.13225,25.57675
1.0,2.0,22.0,1.0,27.48,1.2685,1.6025,1.79425,4.8985,4.629,1.03075,0.5435,10.5405,26.307499999999997
1.0,2.0,23.0,1.0,26.99,1.117,1.2765,0.6135,4.78225,4.0435,0.82675,0.54775,13.59175,26.799
1.0,3.0,0.0,2.0,26.3,0.90425,1.19575,0.45475,4.1625,3.70375,0.81,0.54225,3.54425,15.317499999999999
1.0,3.0,1.0,2.0,24.71,0.99775,1.235,0.6275,1.6965,2.83625,0.8235,0.32299999999999995,4.8705,13.41
1.0,3.0,2.0,2.0,23.79,0.7235,1.1840000000000002,1.117,0.7585,3.681,0.84525,0.306,4.94725,13.5625
1.0,3.0,3.0,2.0,22.6,1.17675,1.1375,0.67975,0.7275,4.07525,0.8695,0.326,4.4355,13.42775
1.0,3.0,4.0,2.0,22.63,1.07875,1.189,0.50425,0.73275,3.9515,0.8025,0.331,5.0115,13.60125
1.0,3.0,5.0,2.0,22.77,1.18275,1.1535,0.5635,0.74025,4.33025,0.823,0.31725,4.99625,14.10675
1.0,3.0,6.0,2.0,21.73,1.55675,1.112,0.597,0.74675,3.55025,1.21775,0.379,4.391,13.5505
1.0,3.0,7.0,2.0,20.88,1.5305,1.20275,0.78425,0.75225,4.367,1.055,0.33525,5.3415,15.3685
1.0,3.0,8.0,2.0,21.72,2.0345,1.17225,0.674,0.83325,4.55825,1.3585,0.691,5.73325,17.055
1.0,3.0,9.0,2.0,27.6,2.112,1.80925,0.5145,0.98525,3.77825,0.988,0.50375,5.1080000000000005,15.799
1.0,3.0,10.0,2.0,32.72,1.9395,0.693,1.1525,1.3025,2.06575,0.8765,0.54825,4.235,12.812999999999999
1.0,3.0,11.0,2.0,38.11,1.81525,0.67725,0.5329999999999999,1.49,1.8445,0.94475,0.75725,4.167,12.229000000000001
1.0,3.0,12.0,2.0,42.6,1.56425,1.0415,0.5005,1.38775,0.89925,1.671,0.67725,2.72275,10.46425
1.0,3.0,13.0,2.0,48.13,1.8885,0.57225,0.48575,1.416,2.6065,1.06025,0.6295,1.1545,9.81325
1.0,3.0,14.0,2.0,51.64,1.77625,0.4515,0.475,1.351,0.8420000000000001,0.92,0.8155,0.603,7.234250000000001
1.0,3.0,15.0,2.0,53.67,1.815,0.54725,0.465,1.415,0.8640000000000001,0.86825,0.65025,1.23925,7.864
1.0,3.0,16.0,2.0,55.27,2.3915,0.55675,0.43875,1.43,0.2935,1.0515,0.6895,1.03675,7.888249999999999
1.0,3.0,17.0,2.0,54.95,2.84375,0.478,0.46675,1.531,2.641,1.21825,0.9575,1.8455,11.981749999999998
1.0,3.0,18.0,2.0,50.85,2.6180000000000003,0.5455,0.78475,1.40025,2.8605,1.2525,1.00475,2.34925,12.815499999999998
1.0,3.0,19.0,2.0,44.94,2.5215,0.56,2.1855,1.351,2.9985,1.37975,1.39975,1.732,14.128
1.0,3.0,20.0,2.0,42.04,2.0540000000000003,0.623,4.5825,1.47325,2.89875,1.18175,1.231,1.9505,15.99475
1.0,3.0,21.0,2.0,38.9,1.80525,1.439,3.746,1.815,2.36375,1.209,0.97975,3.8095,17.167249999999996
1.0,3.0,22.0,2.0,36.77,1.79925,2.46375,4.26775,4.583,3.104,1.06375,0.925,5.1305,23.337000000000003
1.0,3.0,23.0,2.0,35.54,1.58425,1.4145,0.9905,3.02775,1.72725,0.8295,0.48775,0.57375,10.635250000000001
1.0,4.0,0.0,3.0,33.38,1.4169999999999998,0.911,0.2775,0.95025,2.10125,0.8420000000000001,0.22725,4.17575,10.902000000000001
1.0,4.0,1.0,3.0,32.08,1.2385,0.87575,0.359,0.87175,2.32275,0.7705,0.2785,2.151,8.867750000000001
1.0,4.0,2.0,3.0,31.07,0.7390000000000001,0.8859999999999999,0.703,0.723,2.604,0.8395,0.2815,2.51375,9.28975
1.0,4.0,3.0,3.0,30.07,0.76875,0.89225,0.55225,0.6729999999999999,3.741,0.772,0.28225,3.9775,11.659
1.0,4.0,4.0,3.0,29.34,0.69275,0.872,0.5455,0.7165,1.8805,0.83475,0.35025,2.3225,8.214749999999999
1.0,4.0,5.0,3.0,29.29,0.93075,0.8965,0.4675,0.69575,3.3,0.95525,0.562,4.03075,11.8385
1.0,4.0,6.0,3.0,29.4,1.90425,1.11925,0.59975,0.7775,3.91875,1.26225,0.6355,3.24425,13.461500000000001
1.0,4.0,7.0,3.0,28.48,2.106,1.224,0.92,1.26575,2.45225,0.8215,0.8170000000000001,2.206,11.8125
1.0,4.0,8.0,3.0,28.42,1.17825,1.3345,0.508,1.769,2.05125,1.3395,0.7325,4.21325,13.126249999999999
1.0,4.0,9.0,3.0,33.6,0.79025,0.9675,0.44875,1.80325,3.219,0.92925,0.85375,1.51775,10.529499999999999
1.0,4.0,10.0,3.0,43.23,0.84,0.40675,0.42625,1.2865,1.16625,1.01775,1.1585,3.42575,9.72775
1.0,4.0,11.0,3.0,48.06,0.792,0.8695,0.366,1.578,0.982,1.67175,1.0395,2.519,9.81775
1.0,4.0,12.0,3.0,50.85,1.154,0.879,0.31,1.47375,0.78275,1.02,0.838,0.62175,7.07925
1.0,4.0,13.0,3.0,52.7,1.685,0.45025,0.344,1.111,2.06575,0.94025,0.83925,2.6105,10.046
1.0,4.0,14.0,3.0,54.17,0.80575,0.3245,0.32225,0.895,1.54,0.952,0.836,0.634,6.309500000000001
1.0,4.0,15.0,3.0,54.46,0.79225,0.509,0.49525,0.9075,1.45275,1.02025,0.8305,2.09,8.0975
1.0,4.0,16.0,3.0,53.96,0.8015,0.39625,0.61875,1.1,1.51225,1.05625,0.6985,0.91725,7.10075
1.0,4.0,17.0,3.0,53.1,0.7559999999999999,0.59475,0.71975,1.12075,0.8045,1.41075,0.71975,2.62775,8.754000000000001
1.0,4.0,18.0,3.0,51.06,2.212,0.77175,2.425,1.40175,0.75025,0.87975,0.69625,1.86375,11.000499999999999
1.0,4.0,19.0,3.0,48.67,2.27075,0.705,2.3015,1.22875,2.451,0.72425,0.91025,2.298,12.8895
1.0,4.0,20.0,3.0,47.31,2.34675,0.64825,2.19925,1.196,1.11675,0.79125,1.837,2.68525,12.8205
1.0,4.0,21.0,3.0,46.25,1.77625,1.34875,2.2565,1.18025,2.68,0.84725,1.381,5.729,17.199
1.0,4.0,22.0,3.0,46.05,1.2065,0.623,1.284,4.38575,2.62525,0.53975,0.2325,3.05525,13.951999999999998
1.0,4.0,23.0,3.0,44.99,0.7709999999999999,0.46525,0.37375,2.291,2.48675,0.49275,0.22475,0.64125,7.7465
1.0,5.0,0.0,4.0,44.91,0.6935,0.3235,0.29100000000000004,1.00325,0.3695,0.4485,0.2215,2.758,6.10875
1.0,5.0,1.0,4.0,45.27,0.7265,0.37525,0.26675,0.97925,1.95125,0.47175,0.22025,0.9845,5.975499999999999
1.0,5.0,2.0,4.0,44.93,0.74275,0.34525,0.40125,0.84,2.02875,0.4995,0.29675,2.72,7.874250000000002
1.0,5.0,3.0,4.0,44.21,1.004,0.5465,0.44475,0.6629999999999999,1.9265,0.44975,0.2195,2.165,7.419
1.0,5.0,4.0,4.0,44.18,0.7505,0.35675,0.44925,0.64025,1.8895,0.47225,0.26875,1.473,6.300249999999999
1.0,5.0,5.0,4.0,43.39,1.0425,0.3105,0.45025,0.86475,2.0,0.45875,0.2855,3.41175,8.824
1.0,5.0,6.0,4.0,43.1,2.014,0.37175,0.90125,1.692,2.213,0.643,0.4015,0.60725,8.84375
1.0,5.0,7.0,4.0,42.91,1.89375,0.3405,0.69825,1.702,1.81625,0.55325,3.54925,3.15525,13.7085
1.0,5.0,8.0,4.0,43.16,1.94625,0.623,0.7315,1.23675,2.0945,0.86975,1.98325,3.2985,12.7835
1.0,5.0,9.0,4.0,45.19,1.84525,0.55325,0.614,1.107,0.3965,0.77825,0.51825,0.648,6.4605
1.0,5.0,10.0,4.0,48.78,2.1215,0.4565,0.40975,1.31825,2.12325,1.58025,0.2705,2.92875,11.208749999999998
1.0,5.0,11.0,4.0,51.6,1.74625,0.41375,0.40125,4.54425,0.5725,0.90875,0.25525,0.65025,9.49225
1.0,5.0,12.0,4.0,55.26,1.66725,0.40825,0.487,1.12725,0.26775,0.40975,0.25225,2.51725,7.136750000000001
1.0,5.0,13.0,4.0,58.21,1.31,0.27425,0.358,3.70475,0.6075,0.512,0.266,0.81,7.842500000000001
1.0,5.0,14.0,4.0,59.77,0.93825,0.2685,0.46675,1.4985,0.44125,0.426,0.246,0.687,4.97225
1.0,5.0,15.0,4.0,60.43,0.8340000000000001,0.40125,0.5035,1.144,0.25775,0.4635,0.337,1.9955,5.9365000000000006
1.0,5.0,16.0,4.0,60.65,1.14625,0.431,0.5535,1.0505,0.915,0.48225,0.32625,0.84675,5.751499999999999
1.0,5.0,17.0,4.0,59.09,2.23625,0.6015,0.50925,1.2405,0.49625,0.53875,0.32375,2.739,8.68525
1.0,5.0,18.0,4.0,54.83,3.17325,0.36925,2.2035,1.4465,2.4765,0.56525,0.32225,2.50875,13.065250000000002
1.0,5.0,19.0,4.0,50.28,1.941,0.7425,2.438,1.7485,1.20375,1.44325,0.3795,2.36575,12.26225
1.0,5.0,20.0,4.0,47.35,1.919,0.83425,2.2165,1.0075,1.6385,1.007,0.3565,1.47175,10.451
1.0,5.0,21.0,4.0,47.25,1.31225,1.18075,1.6395,1.21475,1.22475,0.711,0.25675,1.372,8.911750000000001
1.0,5.0,22.0,4.0,46.08,1.22175,0.61725,0.55825,4.5085,0.9235,0.51125,0.224,1.8255,10.389999999999999
1.0,5.0,23.0,4.0,46.97,1.4545,0.42575,0.4465,4.49575,1.944,0.46025,0.2665,1.1625,10.655750000000001
1.0,6.0,0.0,5.0,46.03,0.8795,0.364,0.3365,0.64025,1.79875,0.4455,0.21075,1.935,6.610250000000001
1.0,6.0,1.0,5.0,44.13,0.7015,0.28675,0.3725,0.65125,1.8065,0.476,0.34125,2.10775,6.743499999999999
1.0,6.0,2.0,5.0,42.92,0.78525,0.3465,0.4825,0.6755,1.985,0.44025,0.41925,2.38075,7.515
1.0,6.0,3.0,5.0,41.36,0.733,0.3705,0.49,0.65025,2.54625,0.50275,0.31375,2.39975,8.00625
1.0,6.0,4.0,5.0,39.93,0.703,0.33275,0.5375,0.6345,1.9335,0.45375,0.23775,2.05225,6.885
